file shaders/planet.vert.glsl loaded
file shaders/planet.geom.glsl loaded
file shaders/planet.frag.glsl loaded
16	0.667224
24	0.658732
32	0.644582
40	0.672323
48	0.65861
56	0.656619
64	0.644129
72	0.657153
80	0.656675
88	0.656978
96	0.655491
104	0.657713
112	0.657457
120	0.656587
128	0.644417
136	0.657278
144	0.657482
152	0.656563
160	0.656827
168	0.658032
176	0.657991
184	0.658417
192	0.658457
200	0.672873
208	0.671209
216	0.657985
224	0.657166
232	0.657118
240	0.655213
248	0.65353
256	0.644342
264	0.65542
272	0.655618
280	0.656737
288	0.656844
296	0.657947
304	0.658093
312	0.658226
320	0.658101
328	0.659098
336	0.659152
344	0.658744
352	0.658653
360	0.658389
368	0.658409
376	0.658244
384	0.65838
392	0.670672
400	0.670597
408	0.671231
416	0.67137
424	0.67263
432	0.672503
440	0.672906
448	0.672795
456	0.673357
464	0.673393
472	0.673431
480	0.673467
488	0.673765
496	0.67387
504	0.674048
512	0.674082
520	0.701572
528	0.701453
536	0.701074
544	0.701431
552	0.702812
560	0.702671
568	0.702588
576	0.702751
584	0.703107
592	0.703102
600	0.703187
608	0.703204
616	0.703577
624	0.703766
632	0.703816
640	0.703867
648	0.751007
656	0.751303
664	0.751695
672	0.752044
680	0.753235
688	0.753277
696	0.753595
704	0.753857
712	0.754151
720	0.754264
728	0.754021
736	0.754338
744	0.754761
752	0.754678
760	0.754695
768	0.754812
776	0.817301
784	0.817388
792	0.81905
800	0.819734
808	0.821254
816	0.821411
824	0.822969
832	0.823508
840	0.823925
848	0.824002
856	0.82392
864	0.824071
872	0.824509
880	0.824699
888	0.82499
896	0.825185
904	0.911587
912	0.912568
920	0.91775
928	0.918646
936	0.920487
944	0.920846
952	0.924847
960	0.925395
968	0.925933
976	0.925948
984	0.925935
992	0.925747
1000	0.92616
1008	0.926354
1016	0.926614
1024	0.926588
